Country,year,Value
India,2020,8572.151
Indonesia,2020,3008.467
Iran,2020,1225.989
Iraq,2020,367.736
Ireland,2020,461.0957
Israel,2020,352.9956
Italy,2020,2269.692
Jamaica,2020,24.97212
Japan,2020,4916.718
Jordan,2020,94.6429
Kazakhstan,2020,461.5769
Kenya,2020,221.4932
Kiribati,2020,0.2461294
Kosovo,2020,21.12921
Kuwait,2020,188.2929
Kyrgyzstan,2020,27.2678
Laos,2020,55.04773
Latvia,2020,55.19486
Lebanon,2020,90.20407
Lesotho,2020,5.093247
Liberia,2020,7.376948
Libya,2020,56.5138
Lithuania,2020,102.4755
Luxembourg,2020,68.94359
Macau,2020,36.17271
Madagascar,2020,40.34851
Malawi,2020,26.94374
Malaysia,2020,861.0973
Maldives,2020,6.808006
Mali,2020,45.71396
Malta,2020,22.44423
Martinique,2020,6.655254
Mauritania,2020,23.61734
Mauritius,2020,25.39114
Mexico,2020,2285.372
Moldova,2020,28.2766
Mongolia,2020,37.12682
Montenegro,2020,10.14761
Morocco,2020,279.5306
Mozambique,2020,39.96968
Namibia,2020,22.21458
Nepal,2020,101.277
Netherlands,2020,939.8373
Netherlands Antilles,2020,1.626126
New Zealand,2020,208.7964
Nicaragua,2020,33.20459
Niger,2020,29.64246
Nigeria,2020,996.3738
North Korea,2020,36.82477
North Macedonia,2020,30.46472
Norway,2020,333.0393
Oman,2020,143.6402
Pakistan,2020,1173.216
Palestinian Territories,2020,12.48851
Panama,2020,100.6474
Papua New Guinea,2020,30.74278
Paraguay,2020,85.59705
Peru,2020,373.3131
Philippines,2020,835.9282
Poland,2020,1207.167
Portugal,2020,320.9671
Puerto Rico,2020,64.61036
Qatar,2020,241.9877
Reunion,2020,22.95946
Romania,2020,545.6801
Russia,2020,3789.325
Rwanda,2020,26.81732
Saint Kitts and Nevis,2020,1.206884
Saint Lucia,2020,1.985666
Saint Vincent/Grenadines,2020,1.39888
Samoa,2020,1.103916
Sao Tome and Principe,2020,1.106599
Saudi Arabia,2020,1552.617
Senegal,2020,54.84583
Serbia,2020,123.0575
Seychelles,2020,2.732285
Sierra Leone,2020,19.88344
Singapore,2020,527.1874
Slovakia,2020,165.3219
Slovenia,2020,75.15372
Solomon Islands,2020,1.442964
Somalia,2020,1.473779
South Africa,2020,736.2389
South Korea,2020,2261.138
South Sudan,2020,15.91013
Spain,2020,1678.182
Sri Lanka,2020,276.657
Sudan,2020,163.7465
Suriname,2020,8.291067
Sweden,2020,515.6619
Switzerland,2020,570.5285
Syria,2020,56.37702
Taiwan,2020,1236.657
Tajikistan,2020,34.93519
Tanzania,2020,157.641
Thailand,2020,1216.871
The Bahamas,2020,10.09688
Timor-Leste,2020,3.911544
Togo,2020,17.45908
Tonga,2020,0.5752565
Trinidad and Tobago,2020,32.4594
Tunisia,2020,121.3954
Turkiye,2020,2334.109
Turkmenistan,2020,93.82329
U.S. Virgin Islands,2020,1.809609
Uganda,2020,99.52744
Ukraine,2020,496.6829
United Arab Emirates,2020,594.6041
United Kingdom,2020,2736.493
United States,2020,19723.57
Uruguay,2020,73.18648
Uzbekistan,2020,305.7876
Vanuatu,2020,0.7251385
Venezuela,2020,133.6382
Vietnam,2020,1008.091
Yemen,2020,52.95923
Zambia,2020,59.14795
Zimbabwe,2020,39.46869
Afghanistan,2021,65.95827
Albania,2021,40.04762
Algeria,2021,552.5308
Angola,2021,218.2898
Antigua and Barbuda,2021,1.887162
Argentina,2021,957.4966
Armenia,2021,34.91641
Aruba,2021,3.299208
Australia,2021,1285.29
Austria,2021,475.9832
Azerbaijan,2021,147.1354
Bahrain,2021,74.96338
Bangladesh,2021,987.0372
Barbados,2021,3.931183
Belarus,2021,180.6323
Belgium,2021,587.9851
Belize,2021,3.484073
Benin,2021,42.90318
Bermuda,2021,6.359993
Bhutan,2021,8.170408
Bolivia,2021,91.87116
Bosnia and Herzegovina,2021,49.95141
Botswana,2021,38.00796
Brazil,2021,3027.27
British Virgin Islands,2021,1.62841
Brunei,2021,26.52163
Bulgaria,2021,163.3392
Burkina Faso,2021,48.66745
Burma,2021,234.0879
Burundi,2021,9.126743
Cabo Verde,2021,3.615894
Cambodia,2021,92.21146
Cameroon,2021,97.44894
Canada,2021,1810.188
Cayman Islands,2021,3.762545
Central African Republic,2021,4.494702
Chad,2021,36.29854
Chile,2021,479.7853
China,2021,25123.27
Colombia,2021,734.2148
Comoros,2021,2.646479
Congo-Brazzaville,2021,18.25654
Congo-Kinshasa,2021,107.6008
Costa Rica,2021,106.4317
Cote d'Ivoire,2021,147.1927
Croatia,2021,120.2496
Cuba,2021,134.3455
Cyprus,2021,38.97855
Czechia,2021,425.3187
Denmark,2021,338.8135
Djibouti,2021,5.881841
Dominica,2021,0.7410676
Dominican Republic,2021,199.1236
Ecuador,2021,193.3231
Egypt,2021,1362.892
El Salvador,2021,54.48568
Equatorial Guinea,2021,23.8537
Eritrea,2021,6.222074
Estonia,2021,49.49439
Eswatini,2021,10.43062
Ethiopia,2021,279.5113
Fiji,2021,9.320663
Finland,2021,259.996
France,2021,2964.342
Gabon,2021,32.41743
"Gambia, The",2021,5.604825
Georgia,2021,57.48143
Germany,2021,4412.127
Ghana,2021,179.8221
Greece,2021,309.954
Greenland,2021,5.088518
Grenada,2021,1.594095
Guadeloupe,2021,6.935174
Guatemala,2021,154.0904
Guinea,2021,31.13287
Guinea-Bissau,2021,4.488302
Guyana,2021,17.54093
Haiti,2021,30.71283
Honduras,2021,52.25261
Hong Kong,2021,429.1199
Hungary,2021,319.9271
Iceland,2021,18.87189
India,2021,9387.808
Indonesia,2021,3119.868
Iran,2021,1283.853
Iraq,2021,373.26
Ireland,2021,533.5484
Israel,2021,386.8831
Italy,2021,2469.612
Jamaica,2021,26.12083
Japan,2021,5053.18
Jordan,2021,98.10271
Kazakhstan,2021,480.1074
Kenya,2021,238.3314
Kiribati,2021,0.2655399
Kosovo,2021,23.39004
Kuwait,2021,192.5498
Kyrgyzstan,2021,28.95842
Laos,2021,56.96309
Latvia,2021,59.03939
Lebanon,2021,83.88866
Lesotho,2021,5.214458
Liberia,2021,7.744806
Libya,2021,72.50721
Lithuania,2021,108.9941
Luxembourg,2021,73.87703
Macau,2021,44.6861
Madagascar,2021,42.66436
Malawi,2021,28.17191
Malaysia,2021,889.6452
Maldives,2021,9.361547
Mali,2021,47.10907
Malta,2021,25.39068
Martinique,2021,6.828291
Mauritania,2021,23.79275
Mauritius,2021,26.25117
Mexico,2021,2428.511
Moldova,2021,32.20705
Mongolia,2021,37.72926
Montenegro,2021,11.46679
Morocco,2021,302.3259
Mozambique,2021,40.96897
Namibia,2021,23.01531
Nepal,2021,107.2948
Netherlands,2021,998.1709
Netherlands Antilles,2021,1.694159
New Zealand,2021,220.9398
Nicaragua,2021,36.64951
Niger,2021,30.0526
Nigeria,2021,1032.28
North Korea,2021,36.80438
North Macedonia,2021,31.8389
Norway,2021,346.4958
Oman,2021,147.3496
Pakistan,2021,1253.6
Palestinian Territories,2021,13.36421
Panama,2021,117.8986
Papua New Guinea,2021,30.50287
Paraguay,2021,89.03525
Peru,2021,423.3684
Philippines,2021,883.6992
Poland,2021,1289.782
Portugal,2021,338.8088
Puerto Rico,2021,64.88989
Qatar,2021,245.9247
Reunion,2021,24.49774
Romania,2021,575.9421
Russia,2021,4011.626
Rwanda,2021,29.72987
Saint Kitts and Nevis,2021,1.212673
Saint Lucia,2021,2.210319
Saint Vincent/Grenadines,2021,1.409424
Samoa,2021,1.025399
Sao Tome and Principe,2021,1.127625
Saudi Arabia,2021,1628.687
Senegal,2021,58.43496
Serbia,2021,132.7639
Seychelles,2021,2.757389
Sierra Leone,2021,21.05439
Singapore,2021,578.6241
Slovakia,2021,174.79
Slovenia,2021,81.57448
Solomon Islands,2021,1.434808
Somalia,2021,1.524746
South Africa,2021,772.7198
South Korea,2021,2365.444
South Sudan,2021,16.75851
Spain,2021,1790.369
Sri Lanka,2021,288.2973
Sudan,2021,160.6868
Suriname,2021,8.089149
Sweden,2021,545.2604
Switzerland,2021,602.3252
Syria,2021,57.42238
Taiwan,2021,1319.765
Tajikistan,2021,38.23383
Tanzania,2021,165.2617
Thailand,2021,1235.759
The Bahamas,2021,11.65211
Timor-Leste,2021,5.941118
Togo,2021,18.50515
Tonga,2021,0.5599116
Trinidad and Tobago,2021,32.12267
Tunisia,2021,127.145
Turkiye,2021,2601.117
Turkmenistan,2021,98.15758
U.S. Virgin Islands,2021,1.875979
Uganda,2021,105.1175
Ukraine,2021,513.7967
United Arab Emirates,2021,620.4976
United Kingdom,2021,2971.174
United States,2021,20917.86
Uruguay,2021,77.43114
Uzbekistan,2021,330.7687
Vanuatu,2021,0.7298421
Venezuela,2021,139.3772
Vietnam,2021,1033.817
Yemen,2021,52.42963
Zambia,2021,62.7781
Zimbabwe,2021,42.80999
Afghanistan,2022,61.84236
Albania,2022,41.99279
Algeria,2022,572.6695
Angola,2022,225.5227
Antigua and Barbuda,2022,2.057991
Argentina,2022,1007.956
Armenia,2022,39.31587
Aruba,2022,3.64425
Australia,2022,1338.526
Austria,2022,501.4926
Azerbaijan,2022,154.4001
Bahrain,2022,79.59624
Bangladesh,2022,1057.115
Barbados,2022,4.376733
Belarus,2022,172.2097
Belgium,2022,612.8767
Belize,2022,3.82039
Benin,2022,45.58602
Bermuda,2022,6.393821
Bhutan,2022,8.596402
Bolivia,2022,95.24209
Bosnia and Herzegovina,2022,51.82304
Botswana,2022,40.07912
Brazil,2022,3122.1
British Virgin Islands,2022,1.664424
Brunei,2022,26.08977
Bulgaria,2022,170.4301
Burkina Faso,2022,49.39612
Burma,2022,238.7016
Burundi,2022,9.289763
Cabo Verde,2022,4.256418
Cambodia,2022,96.91739
Cameroon,2022,101.1846
Canada,2022,1886.018
Cayman Islands,2022,3.837483
Central African Republic,2022,4.51727
Chad,2022,37.60864
Chile,2022,490.2152
China,2022,25910.6
Colombia,2022,788.0201
Comoros,2022,2.715367
Congo-Brazzaville,2022,18.57602
Congo-Kinshasa,2022,117.2036
Costa Rica,2022,111.276
Cote d'Ivoire,2022,156.3449
Croatia,2022,128.9698
Cuba,2022,136.73
Cyprus,2022,41.84987
Czechia,2022,437.4434
Denmark,2022,344.0318
Djibouti,2022,6.101151
Dominica,2022,0.7850786
Dominican Republic,2022,208.837
Ecuador,2022,204.6681
Egypt,2022,1420.703
El Salvador,2022,56.00982
Equatorial Guinea,2022,24.62263
Eritrea,2022,6.384953
Estonia,2022,49.47552
Eswatini,2022,10.42357
Ethiopia,2022,294.3846
Fiji,2022,11.18633
Finland,2022,261.9798
France,2022,3042.121
Gabon,2022,33.40214
"Gambia, The",2022,5.912698
Georgia,2022,63.83381
Germany,2022,4475.909
Ghana,2022,186.7687
Greece,2022,328.0649
Greenland,2022,5.203341
Grenada,2022,1.653555
Guadeloupe,2022,7.34435
Guatemala,2022,160.5625
Guinea,2022,32.59612
Guinea-Bissau,2022,4.695025
Guyana,2022,28.6504
Haiti,2022,30.1954
Honduras,2022,54.41775
Hong Kong,2022,413.3122
Hungary,2022,333.6321
Iceland,2022,20.56895
India,2022,10047.18
Indonesia,2022,3285.445
Iran,2022,1332.34
Iraq,2022,401.7765
Ireland,2022,579.7906
Israel,2022,410.9849
Italy,2022,2592.468
Jamaica,2022,27.2179
Japan,2022,5099.414
Jordan,2022,100.6999
Kazakhstan,2022,495.5932
Kenya,2022,249.9048
Kiribati,2022,0.2686041
Kosovo,2022,24.39581
Kuwait,2022,203.8316
Kyrgyzstan,2022,33.38905
Laos,2022,59.48256
Latvia,2022,60.35691
Lebanon,2022,83.36715
Lesotho,2022,5.335146
Liberia,2022,8.117186
Libya,2022,63.73384
Lithuania,2022,111.7365
Luxembourg,2022,74.91359
Macau,2022,35.12248
Madagascar,2022,44.37093
Malawi,2022,28.43141
Malaysia,2022,968.4856
Maldives,2022,10.65588
Mali,2022,48.74626
Malta,2022,26.48795
Martinique,2022,7.210675
Mauritania,2022,25.40971
Mauritius,2022,28.6227
Mexico,2022,2518.478
Moldova,2022,30.7139
Mongolia,2022,39.59843
Montenegro,2022,12.20067
Morocco,2022,306.9428
Mozambique,2022,42.70945
Namibia,2022,24.24637
Nepal,2022,111.3045
Netherlands,2022,1048.153
Netherlands Antilles,2022,1.827828
New Zealand,2022,228.1356
Nicaragua,2022,38.03251
Niger,2022,33.62886
Nigeria,2022,1066.062
North Korea,2022,36.74848
North Macedonia,2022,32.55582
Norway,2022,357.764
Oman,2022,159.1161
Pakistan,2022,1308.538
Palestinian Territories,2022,13.90983
Panama,2022,130.5671
Papua New Guinea,2022,32.07836
Paraguay,2022,89.19198
Peru,2022,435.3644
Philippines,2022,950.6923
Poland,2022,1361.016
Portugal,2022,362.4774
Puerto Rico,2022,67.07082
Qatar,2022,256.2166
Reunion,2022,25.15918
Romania,2022,598.7799
Russia,2022,3954.023
Rwanda,2022,32.15649
Saint Kitts and Nevis,2022,1.340281
Saint Lucia,2022,2.550708
Saint Vincent/Grenadines,2022,1.486943
Samoa,2022,0.9713214
Sao Tome and Principe,2022,1.12988
Saudi Arabia,2022,1754.651
Senegal,2022,60.66874
Serbia,2022,136.3272
Seychelles,2022,3.168309
Sierra Leone,2022,22.17262
Singapore,2022,602.394
Slovakia,2022,175.5757
Slovenia,2022,84.09851
Solomon Islands,2022,1.376399
Somalia,2022,1.566327
South Africa,2022,787.4901
South Korea,2022,2429.963
South Sudan,2022,15.8892
Spain,2022,1901.049
Sri Lanka,2022,267.1098
Sudan,2022,159.1478
Suriname,2022,8.283791
Sweden,2022,553.7768
Switzerland,2022,621.1531
Syria,2022,57.84313
Taiwan,2022,1355.181
Tajikistan,2022,41.29254
Tanzania,2022,172.9948
Thailand,2022,1267.646
The Bahamas,2022,12.90845
Timor-Leste,2022,4.720718
Togo,2022,19.57088
Tonga,2022,0.5489274
Trinidad and Tobago,2022,32.59879
Tunisia,2022,130.544
Turkiye,2022,2745.048
Turkmenistan,2022,99.75173
U.S. Virgin Islands,2022,1.85138
Uganda,2022,111.5715
Ukraine,2022,366.036
United Arab Emirates,2022,667.0953
United Kingdom,2022,3114.951
United States,2022,21443.41
Uruguay,2022,80.95638
Uzbekistan,2022,349.2933
Vanuatu,2022,0.7433367
Venezuela,2022,154.8543
Vietnam,2022,1122.079
Yemen,2022,53.21609
Zambia,2022,66.04212
Zimbabwe,2022,45.4306
Afghanistan,2023,58.90645
Albania,2023,43.63172
Algeria,2023,596.0418
Angola,2023,227.5672
Antigua and Barbuda,2023,2.174793
Argentina,2023,991.7174
Armenia,2023,42.57909
Aruba,2023,3.887536
Australia,2023,1366.043
Austria,2023,497.2084
Azerbaijan,2023,156.051
Bahrain,2023,82.68302
Bangladesh,2023,1118.165
Barbados,2023,4.565231
Belarus,2023,179.0576
Belgium,2023,620.5471
Belize,2023,3.860742
Benin,2023,48.48202
Bermuda,2023,6.674747
Bhutan,2023,9.016003
Bolivia,2023,98.12745
Bosnia and Herzegovina,2023,52.75772
Botswana,2023,41.34745
Brazil,2023,3223.128
British Virgin Islands,2023,1.690991
Brunei,2023,26.45686
Bulgaria,2023,173.7696
Burkina Faso,2023,50.85834
Burma,2023,242.4068
Burundi,2023,9.537364
Cabo Verde,2023,4.473042
Cambodia,2023,102.1732
Cameroon,2023,104.5917
Canada,2023,1914.85
Cayman Islands,2023,3.876304
Central African Republic,2023,4.556582
Chad,2023,39.448
Chile,2023,493.2926
China,2023,27313.92
Colombia,2023,793.633
Comoros,2023,2.79671
Congo-Brazzaville,2023,18.95547
Congo-Kinshasa,2023,127.2372
Costa Rica,2023,116.9643
Cote d'Ivoire,2023,166.5636
Croatia,2023,133.2107
Cuba,2023,134.254
Cyprus,2023,42.94299
Czechia,2023,437.7262
Denmark,2023,352.616
Djibouti,2023,6.508502
Dominica,2023,0.8216093
Dominican Republic,2023,213.7201
Ecuador,2023,208.7374
Egypt,2023,1462.322
El Salvador,2023,57.97391
Equatorial Guinea,2023,23.36951
Eritrea,2023,6.563731
Estonia,2023,47.939
Eswatini,2023,10.9463
Ethiopia,2023,313.5141
Fiji,2023,12.07282
Finland,2023,259.4958
France,2023,3076.058
Gabon,2023,34.21912
"Gambia, The",2023,6.19636
Georgia,2023,68.65612
Germany,2023,4473.126
Ghana,2023,192.5818
Greece,2023,335.7238
Greenland,2023,5.296205
Grenada,2023,1.725502
Guadeloupe,2023,7.270906
Guatemala,2023,166.2252
Guinea,2023,34.89804
Guinea-Bissau,2023,4.939132
Guyana,2023,38.99431
Haiti,2023,29.62942
Honduras,2023,56.3673
Hong Kong,2023,426.5981
Hungary,2023,331.3494
Iceland,2023,21.60505
India,2023,10937.52
Indonesia,2023,3451.327
Iran,2023,1399.555
Iraq,2023,389.9821
Ireland,2023,547.0376
Israel,2023,418.1996
Italy,2023,2613.576
Jamaica,2023,28.01798
Japan,2023,5175.273
Jordan,2023,103.3969
Kazakhstan,2023,520.8369
Kenya,2023,263.8303
Kiribati,2023,0.2749524
Kosovo,2023,25.39604
Kuwait,2023,196.4111
Kyrgyzstan,2023,35.45917
Laos,2023,61.98487
Latvia,2023,61.0631
Lebanon,2023,83.242
Lesotho,2023,5.430963
Liberia,2023,8.49738
Libya,2023,70.20657
Lithuania,2023,112.2151
Luxembourg,2023,74.08199
Macau,2023,63.37252
Madagascar,2023,46.05703
Malawi,2023,28.95543
Malaysia,2023,1002.919
Maldives,2023,11.15952
Mali,2023,51.01669
Malta,2023,28.29404
Martinique,2023,7.440824
Mauritania,2023,27.06317
Mauritius,2023,30.62256
Mexico,2023,2601.626
Moldova,2023,30.93139
Mongolia,2023,42.45227
Montenegro,2023,12.96931
Morocco,2023,317.3891
Mozambique,2023,44.98958
Namibia,2023,25.25501
Nepal,2023,113.2948
Netherlands,2023,1049.053
Netherlands Antilles,2023,1.930394
New Zealand,2023,232.4845
Nicaragua,2023,39.76293
Niger,2023,34.46958
Nigeria,2023,1096.533
North Korea,2023,37.87138
North Macedonia,2023,32.89071
Norway,2023,358.4058
Oman,2023,161.005
Pakistan,2023,1307.902
Palestinian Territories,2023,13.15718
Panama,2023,140.3673
Papua New Guinea,2023,33.05034
Paraguay,2023,93.3966
Peru,2023,433.6076
Philippines,2023,1003.16
Poland,2023,1361.621
Portugal,2023,371.9495
Puerto Rico,2023,68.96746
Qatar,2023,259.7234
Reunion,2023,25.38562
Romania,2023,613.1761
Russia,2023,4115.447
Rwanda,2023,34.80785
Saint Kitts and Nevis,2023,1.371167
Saint Lucia,2023,2.640443
Saint Vincent/Grenadines,2023,1.579017
Samoa,2023,1.048798
Sao Tome and Principe,2023,1.134399
Saudi Arabia,2023,1741.478
Senegal,2023,63.30195
Serbia,2023,141.5235
Seychelles,2023,3.150424
Sierra Leone,2023,23.43769
Singapore,2023,613.3659
Slovakia,2023,177.9959
Slovenia,2023,86.09986
Solomon Islands,2023,1.411887
Somalia,2023,1.63237
South Africa,2023,792.9908
South Korea,2023,2464.083
South Sudan,2023,16.29195
Spain,2023,1951.857
Sri Lanka,2023,260.8865
Sudan,2023,127.1406
Suriname,2023,8.494164
Sweden,2023,554.4227
Switzerland,2023,625.7702
Syria,2023,55.52943
Taiwan,2023,1370.381
Tajikistan,2023,44.62704
Tanzania,2023,181.754
Thailand,2023,1293.224
The Bahamas,2023,13.2491
Timor-Leste,2023,3.868245
Togo,2023,20.8211
Tonga,2023,0.5515768
Trinidad and Tobago,2023,33.53971
Tunisia,2023,130.5951
Turkiye,2023,2885.352
Turkmenistan,2023,102.2955
U.S. Virgin Islands,2023,1.884259
Uganda,2023,117.0085
Ukraine,2023,386.2952
United Arab Emirates,2023,691.2348
United Kingdom,2023,3127.32
United States,2023,22062.56
Uruguay,2023,81.5502
Uzbekistan,2023,376.4741
Vanuatu,2023,0.7593469
Venezuela,2023,159.867
Vietnam,2023,1178.913
Yemen,2023,52.18179
Zambia,2023,69.53176
Zimbabwe,2023,47.82062
Afghanistan,2024,57.83112
Albania,2024,45.2091
Algeria,2024,615.7547
Angola,2024,237.8399
Antigua and Barbuda,2024,2.260353
Argentina,2024,974.6687
Armenia,2024,45.49032
Aruba,2024,4.105302
Australia,2024,1380.226
Austria,2024,490.5658
Azerbaijan,2024,162.8957
Bahrain,2024,83.81815
Bangladesh,2024,1165.388
Barbados,2024,4.719834
Belarus,2024,186.7808
Belgium,2024,626.6715
Belize,2024,4.089908
Benin,2024,51.62086
Bermuda,2024,6.9693
Bhutan,2024,9.46358
Bolivia,2024,99.11518
Bosnia and Herzegovina,2024,53.94182
Botswana,2024,40.09491
Brazil,2024,3318.006
British Virgin Islands,2024,1.711737
Brunei,2024,27.2993
Bulgaria,2024,178.3856
Burkina Faso,2024,52.65068
Burma,2024,247.2566
Burundi,2024,9.835208
Cabo Verde,2024,4.719391
Cambodia,2024,108.327
Cameroon,2024,108.1534
Canada,2024,1944.111
Cayman Islands,2024,3.950994
Central African Republic,2024,4.599852
Chad,2024,40.94075
Chile,2024,505.2704
China,2024,28673.24
Colombia,2024,807.4732
Comoros,2024,2.888178
Congo-Brazzaville,2024,19.4529
Congo-Kinshasa,2024,137.2387
Costa Rica,2024,122.0186
Cote d'Ivoire,2024,176.6529
Croatia,2024,138.2906
Cuba,2024,133.0835
Cyprus,2024,44.41618
Czechia,2024,442.1055
Denmark,2024,365.5789
Djibouti,2024,6.89673
Dominica,2024,0.8562173
Dominican Republic,2024,224.0056
Ecuador,2024,204.6935
Egypt,2024,1508.309
El Salvador,2024,59.15774
Equatorial Guinea,2024,23.75562
Eritrea,2024,6.739185
Estonia,2024,47.83399
Eswatini,2024,11.47517
Ethiopia,2024,336.393
Fiji,2024,12.40038
Finland,2024,259.1501
France,2024,3108.884
Gabon,2024,35.17318
"Gambia, The",2024,6.506727
Georgia,2024,74.45154
Germany,2024,4463.949
Ghana,2024,203.7724
Greece,2024,343.439
Greenland,2024,5.345188
Grenada,2024,1.786802
Guadeloupe,2024,7.396809
Guatemala,2024,173.4411
Guinea,2024,36.79809
Guinea-Bissau,2024,5.175954
Guyana,2024,54.77125
Haiti,2024,29.38877
Honduras,2024,58.12246
Hong Kong,2024,437.4388
Hungary,2024,333.111
Iceland,2024,21.79702
India,2024,11660.21
Indonesia,2024,3624.942
Iran,2024,1434.278
Iraq,2024,390.9441
Ireland,2024,553.7059
Israel,2024,419.2655
Italy,2024,2627.156
Jamaica,2024,28.59037
Japan,2024,5179.704
Jordan,2024,106.0239
Kazakhstan,2024,545.9674
Kenya,2024,276.1076
Kiribati,2024,0.283225
Kosovo,2024,26.39485
Kuwait,2024,191.1901
Kyrgyzstan,2024,37.2332
Laos,2024,64.50146
Latvia,2024,60.94439
Lebanon,2024,81.98595
Lesotho,2024,5.577046
Liberia,2024,8.900855
Libya,2024,72.00037
Lithuania,2024,115.2229
Luxembourg,2024,74.48024
Macau,2024,71.20735
Madagascar,2024,47.96698
Malawi,2024,29.46712
Malaysia,2024,1054.21
Maldives,2024,11.969
Mali,2024,53.55295
Malta,2024,29.99147
Martinique,2024,7.610863
Mauritania,2024,28.82456
Mauritius,2024,32.22778
Mexico,2024,2633.772
Moldova,2024,31.85753
Mongolia,2024,44.77883
Montenegro,2024,13.46019
Morocco,2024,327.1085
Mozambique,2024,45.72026
Namibia,2024,25.95004
Nepal,2024,117.121
Netherlands,2024,1059.288
Netherlands Antilles,2024,2.012667
New Zealand,2024,232.173
Nicaragua,2024,41.01817
Niger,2024,37.06577
Nigeria,2024,1133.828
North Korea,2024,39.01265
North Macedonia,2024,33.55083
Norway,2024,365.9415
Oman,2024,163.7004
Pakistan,2024,1337.384
Palestinian Territories,2024,11.89977
Panama,2024,143.7904
Papua New Guinea,2024,34.65169
Paraguay,2024,97.06747
Peru,2024,447.8765
Philippines,2024,1060.261
Poland,2024,1399.678
Portugal,2024,379.1224
Puerto Rico,2024,70.1583
Qatar,2024,266.3945
Reunion,2024,25.98352
Romania,2024,618.1656
Russia,2024,4294.238
Rwanda,2024,37.90262
Saint Kitts and Nevis,2024,1.391732
Saint Lucia,2024,2.808157
Saint Vincent/Grenadines,2024,1.65069
Samoa,2024,1.132989
Sao Tome and Principe,2024,1.145223
Saudi Arabia,2024,1764.72
Senegal,2024,67.5356
Serbia,2024,146.9233
Seychelles,2024,3.246631
Sierra Leone,2024,24.37736
Singapore,2024,640.2806
Slovakia,2024,181.6023
Slovenia,2024,87.23259
Solomon Islands,2024,1.444938
Somalia,2024,1.695175
South Africa,2024,797.5889
South Korea,2024,2514.819
South Sudan,2024,11.98725
Spain,2024,2013.364
Sri Lanka,2024,273.9536
Sudan,2024,115.7891
Suriname,2024,8.692646
Sweden,2024,559.6602
Switzerland,2024,633.7114
Syria,2024,54.10013
Taiwan,2024,1433.301
Tajikistan,2024,47.31609
Tanzania,2024,191.8623
Thailand,2024,1325.89
The Bahamas,2024,13.53129
Timor-Leste,2024,3.673482
Togo,2024,22.19822
Tonga,2024,0.5619944
Trinidad and Tobago,2024,34.56743
Tunisia,2024,132.359
Turkiye,2024,2977.222
Turkmenistan,2024,105.606
U.S. Virgin Islands,2024,1.931491
Uganda,2024,124.6823
Ukraine,2024,397.551
United Arab Emirates,2024,717.3103
United Kingdom,2024,3161.742
United States,2024,22679.47
Uruguay,2024,84.0632
Uzbekistan,2024,396.7879
Vanuatu,2024,0.7696446
Venezuela,2024,166.3363
Vietnam,2024,1262.512
Yemen,2024,51.4865
Zambia,2024,70.63489
Zimbabwe,2024,48.79468
